A
Abe 阿部。安部。安倍。阿倍。  
Hika 比嘉。  
Hikage 日影。  
Hikami 冰上。  
Hikawa 木通」川。  
Hiki 比企。  
Hikichi 引地。曳地。  
Hikima 引间。  
Hikita 疋田。引田。  
Hikone 彦根。  
Hikosaka 彦阪。  
Hikota 彦田。  
Himeji 姬路。  
Himeno 姬野。  
Himeta 姬田。  
Himi 冰见。  
Himori 日森。  
Himuro 冰室。  
Hinata 日向。  
Hinatsu 日夏。  
Hine 日根。  
Hineno 日根野。  
Hino 日野。樋野。火野。  
Hinode 日出。  
Hinohara 日野原。  
Hinuma 樋沼。  
Hioki 日置。日冲。  
Hira 平。  
Hirabayashi 平林。  
Hirada 平田。  
Hirade 平出。平手。  
Hirafuku 平福。  
Hiraga 平贺。  
HIragawa 平川。  
Hiraguri 平栗。  
Hiragushi 平栉。  
Hirahara 平原。  
Hirai 平井。飞来。  
Hiraide 平出。  
Hiraike 平池。  
Hiraishi 平石。  
Hiraiwa 平岩。  
Hiraizumi 平泉。  
Hirakata 平形。  
Hirakawa 平川。  
Hiraki 平木。开。  
Hirako 平子。  
Hirakushi 平栉。  
Hirama 平间。  
Hiramatsu 平松。  
Hirami 平见。  
Hiramine 平峰。  
Hiramitsu 平光。  
Hiramoto 平本。  
Hiranaka 平中。  
Hirano 平野。  
Hiranuma 平沼。  
Hirao 平尾。平生。  
Hiraoka 平冈。  
Hirasaka 平阪。  
Hirasawa 平泽。  
Hirase 平濑。  
Hirashima 平岛。  
Hirashimizu 平清水。  
Hirata 平田。  
Hiratani 平谷。  
Hirato 平户。  
Hiratsuka 平冢。  
Hiraya 平谷。  
Hirayama 平山。  
Hirayanagi 平柳。  
Hirobe 广部。  
Hiroe 广江。  
Hirohara 广原。  
Hirohashi 广桥。  
Hirohata 广畑。  
Hiroi 广井。  
Hiroishi 广石。  
Hirokawa 广川。  
Hiroki 广木。  
Hiromasa 广政。  
Hiromoto 广本。  
Hironaka 弘中。广中。  
Hirono 广野。  
Hirooka 广冈。  
Hirosawa 广泽。  
Hirose 广濑。弘濑。弘世。  
Hiroshima 广岛。  
Hirota 广田。弘田。  
Hirotani 广谷。  
Hirotsu 广津。  
Hirouchi 广内。  
Hirowatari 广渡。  
Hiroya 广谷。  
Hiroyama 广山。  
Hirukawa 蜷川。蛭川。  
Hiruma 比留间。蛭间。昼间。日留间。  
Hiruta 蛭田。  
Hisada 久田。  
Hisai 久井。  
Hisaita 久板。  
Hisajima 久岛。  
Hisakawa 久川。  
Hisamatsu 久松。  
Hisamoto 久本。  
Hisanaga 久永。  
Hisano 久野。  
Hisao 久生。  
Hisaoka 久冈。  
Hisashita 久下。  
Hisatomi 久富。  
Hisatsune 久恒。  
Hisayama 久山。  
Hisazumi 久住。  
Hishida 菱田。  
Hishigari 菱刈。  
Hishii 菱井。  
Hishikari 菱刈。  
Hishikawa 菱川。  
Hishiki 菱木。  
Hishino 菱野。  
Hishinuma 菱沼。  
Hishita 日下。  
Hishitani 菱谷。  
Hishiya 菱谷。  
Hishiyama 菱山。  
Hitomi 人见。  
Hitosugi 一杉。  
Hitotsubashi 一桥。  
Hitotsuyanagi 一柳。  
Hiue 樋上。  
Hiura 日浦。樋浦。  
Hiwatari 樋渡。  
Hiwatashi 樋渡。  
Hiyama 桧山。樋山。日山。  
Hiyoshi 日吉。  
Hoashi 帆足。  
Hobo 保母。  
Hoda 保田。  
Hodota 保户田。保土田。  
Hodotsuka 保户冢。程冢。  
Hogawa 穗川。  
Hoi 保井。  
Hoida 穗井田。  
Hoizumi 保泉。  
Hojo 北条。  
Hokao 外尾。  
Hokari 帆刈。穗刈。  
Hokura 保仓。  
Homareda 誉田。  
Honami 本阿弥。  
Honda 本田。本多。誉田。  
Hondo 本藤。本堂。本道。  
Hongo 本乡。  
Honjo 本庄。本城。本庄。  
Honke 本家。  
Honma 本间。  
Honmiya 本宫。  
Honmura 本村。  
Honna 本名。  
Hontani 本谷。  
Honto 本多。  
Honzawa 本泽。  
Horaguchi 洞口。  
Horai 宝来。  
Hori 堀。保利。祝。  
Horiba 堀场。  
Horibe 堀部。  
Horie 堀江。  
Horigome 堀米。  
Horiguchi 堀口。  
Horihata 堀端。  
Horii 堀井。  
Horiie 堀家。  
Horiike 堀池。  
Horikawa 堀川。  
Horiki 堀木。  
Horikiri 堀切。  
Horikoshi 堀越。  
Horinaka 堀中。  
Horino 堀野。  
Horinouchi 堀内。堀之内。  
Horio 堀尾。  
Horioka 堀冈。  
Horisawa 堀泽。  
Horita 堀田。  
Horiuchi 堀内。  
Horiyama 堀山。  
Hosaka 保阪。穗阪。  
Hoshi 星。  
Hoshiai 星合。  
Hoshiba 干场。  
Hoshida 星田。  
Hoshijima 星岛。  
Hoshika 星加。  
Hoshikawa 星川。  
Hoshiko 星子。  
Hoshima 星间。  
Hoshimoto 星本。  
Hoshina 保科。星名。  
Hoshino 星野。  
Hoshitani 星谷。  
Hoshiya 星谷。星屋。  
Hoshiyama 星山。  
Hosho 宝生。  
Hosobuchi 细渊。  
Hosoda 细田。  
Hosoe 细江。  
Hosogai 细贝。  
Hosogi 细木。  
Hosohara 细原。  
Hosoi 细井。  
Hosojima 细岛。  
Hosokawa 细川。  
Hosoki 细木。  
Hosomi 细见。  
Hosomura 细村。  
Hosono 细野。  
Hosonuma 细沼。  
Hososako 细迫。  
Hosotani 细谷。  
Hosoya 细谷。细矢。  
Hosoyama 细山。  
Hotari 帆足。  
Hotate 保立。  
Hotta 堀田。  
Hoya 保谷。  
Hozumi 穗积。  
Hyakutake 百武。  
Hyodo 兵头。兵藤。  
Hyozu 兵头。  
Hyuga 日向。 
I 

I 伊。  
Iba 伊庭。射场。井场。  
Ibaragi 茨木。  
Ibaraki 茨木。  
Ibarata 茨田。  
Ibata 井畑 。  
Ibe 伊部。井部。  
Iboshi 违星。  
Ibuki 伊吹。  
Iburi 饭降。  
Ibuse 井伏。  
Ibusuki 指宿。  
Ichiba 市场。  
Ichida 市田。  
Ichien 一丹。  
Ichigawa 市河。  
Ichige 市毛。  
Ichihara 市原。  
Ichihashi 市桥。  
Ichii 一井。市井。  
Ichijima 市岛。  
Ichijo 一条。  
Ichikawa 市川。市河。  
Ichiki 市来。一木。  
Ichimada 一万田。  
Ichimaru 市丸。  
Ichimiya 一宫。  
Ichimura 市村。一村。  
Ichino 市野。  
Ichinobe 市边。  
Ichinohe 一户。  
Ichinomiya 一宫。  
Ichinose 市濑。一濑。一之濑。  
Ichio 一翁。  
Ichioka 市冈。  
Ichiriki 一力。  
Ichiryusai 一龙斋。  
Ichise 市濑。一濑。  
Ichishima 市岛。  
Ichitani 一谷。  
Ichito 市东。  
Ichitsuka 市冢。  
Ichiura 市浦。  
Ichiyama 市山。  
Ichiyanagi 一柳。  
Ichu 惟忠。  
Ida 井田。伊田。猪田。  
Ide 井出。井手。出。  
Idehara 出原。  
Idei 出井。  
Idekawa 出川。  
Idemitsu 出光。  
Idemizu 出水。  
Idemura 出村。  
Ideta 出田。  
Ido 井户。  
Idokawa 井户川。  
Idomoto 井户本。  
Ieda 家田。  
Iehara 家原。  
Iemura 家村。  
Ienaga 家永。家长。  
Ifuji 井藤。  
Ifukube 伊福部。  
Iga 伊贺。  
Igaki 井垣。  
Igami 井上。  
Igarashi 五十岚。  
Igata 井形。伊形。  
Igawa 伊川。  
Igaya 猪谷。  
Igeta 井桁。井下田。  
Igi 伊木。  
Iguchi 井口。猪口。  
Igusa 井草。  
Iha 伊波。  
Ihana 猪鼻。  
Ihara 井原。伊原。猪原。  
Ihashi 井桥。伊桥。  
Ihori 井掘。  
Ii 伊井。井伊。饭。  
Iida 饭田。  
Iihama 饭滨。  
Iiizumi 饭泉。  
Iijima 饭岛。  
Iikawa 饭川。  
Iikura 饭仓。  
Iimori 饭森。  
Iimura 饭村。  
Iimuro 饭室。  
Iino 饭野。  
Iinuma 饭沼。  
Iio 饭尾。  
Iioka 饭冈。  
Iisaka 饭阪。  
Iitaka 饭高。  
Iiyama 饭山。  
Iizasa 饭篠。饭笹。  
Iizawa 饭泽。  
Iizuka 饭冢。  
Iji 伊治。  
Ijichi 伊地知。  
Ijima 井岛。  
Ijiri 井尻。  
Ijuin 伊集院。  
Ikahata 五十畑。  
Ikai 猪饲。  
Ikami 伊神。  
Ikari 猪狩。碇。  
Ikawa 井川。  
Ike 池。  
Ikebata 池端。池畑。  
Ikebe 池边。池部。  
Ikeda 池田。  
Ikegai 池贝。  
Ikegame 池龟。  
Ikegami 池上。  
Ikegaya 池谷。  
Ikeguchi 池口。  
Ikegusuku 池城。  
Ikehara 池原。  
Ikehata 池端。  
Ikejiri 池尻。  
Ikekawa 池川。  
Ikematsu 池松。  
Ikemoto 池本。  
Ikemura 池村。  
Ikenaga 池永。  
Ikenaka 池中。  
Ikenishi 池西  
Ikeno 池野。  
Ikenobo 池坊。  
Ikenouchi 池内。  
Ikenoya 池谷。  
Ikeo 池尾。  
Ikeshima 池岛。  
Ikeshita 池下。  
Iketani 池谷。  
Iketo 池户。  
Iketomo 池知。  
Ikeuchi 池内。  
Ikeue 池上。  
Ikeura 池浦。  
Ikeya 池谷。  
Ikeyama 池山。  
Ikezaki 池崎。  
Ikezawa 池泽。  
Ikezoe 池添。  
Ikezono 池园。  
Iki 伊木。伊岐。伊吉。  
Ikimatsu 生松。  
Ikoma 生驹。  
Ikota 伊古田。  
Ikue 生江。  
Ikui 生井。  
Ikuine 生稻。  
Ikukata 生方。  
Ikuma 猪熊。井熊。伊熊。  
Ikuno 生野。  
Ikura 伊仓。  
Ikusawa 生泽。  
Ikushima 生岛。  
Ikuta 生田。  
Ima 今。  
Imabayashi 今林。  
Imada 今田。  
Imadegawa 今出川。  
Imaeda 今枝。  
Imafuku 今福。  
Imagawa 今川。 
Imahashi 今桥。  
Imahori 今堀。  
Imai 今井。  
Imaichi 今市。  
Imaida 今井田。  
Imaide 今出。  
Imaike 今池。  
Imaizumi 今泉。  
Imajo 今城。  
Imaki 今木。  
Imakita 今北。  
Imakoji 今小路。  
Imamatsu 今松。  
Imamiya 今宫。  
Imamoto 今本。  
Imamura 今村。  
Imanaka 今中。今仲。  
Imanari 今成。  
Imanishi 今西。  
Imano 今野。  
Imao 今尾。  
Imaoka 今冈。  
Imasaka 今阪。  
Imasato 今里。  
Imashiro 今城。  
Imayoshi 今吉。  
Imazato 今里。  
Imazawa 今泽。  
Imazeki 今关。  
Imazu 今津。  
Imizu 出水。  
Imoto 井本。井元。  
Imura 井村。  
Ina 伊奈。  
Inaba 稻叶。稻场。  
Inabe 猪名部。  
Inada 稻田。  
Inadome 稻留。  
Inadomi 稻富。  
Inagaki 稻垣。  
Inagawa 稻川。  
Inage 稻毛。  
Inahashi 稻桥。  
Inai 稻井。稻生。居内。  
Inaki 稻木。  
Inami 稻见。井波。伊波。  
Inamine 稻岭。  
Inamori 稻森。  
Inamoto 稻元。  
Inamura 稻村。  
Inao 稻生。  
Inaoka 稻冈。  
Inatani 稻谷。  
Inatomi 稻富。  
Inatsu 稻津。  
Inauchi 稻内。  
Inayama 稻山。  
Inayoshi 稻吉。  
Inazawa 稻泽。  
Inazu 稻津。  
Inbe 忌部。斋部。  
Inei 稻井。  
Ineki 稻木。  
Inemoto 稻本。  
Inemura 稻村。  
Ineno 稻野。  
Ineya 稻谷。  
Iniwa 伊庭。  
Innami 印南。  
Ino 猪野。井野。伊野。伊能。  
Inobe 井野边。  
Inoguchi 井野口。  
Inohara 猪原。  
Inokawa 井野川。  
Inoki 猪木。  
Inokuchi 井口。井之口。  
Inokuma 猪熊。  
Inomata 猪股。猪又。猪俣。  
Inoo 饭尾。  
Inose 猪濑。  
Inou 稻生。  
Inouchi 井内。  
Inoue 井上。  
Into 印藤。  
Inubushi 犬伏。  
Inugami 犬上。  
Inui 乾。犬井。戌亥。  
Inukai 犬饲。犬养。  
Inumaru 犬丸。  
Inumejuku 犬目宿。  
Inuta 犬田。  
Inuzuka 犬冢。  
Io 猪尾。  
Iogi 五百木。  
Iohara 庵原。  
Ioi 卢井。  
Ioka 井冈。  
Iono 伊王野。  
Iraha 伊良波。  
Irahara 苛原。  
Irako 伊良子。  
Irie 入江。  
Iriguchi 入口。  
Irikura 入仓。  
Irimajiri 入交。  
Irimura 入村。  
Irino 入野。  
Irisawa 入泽。  
Iritani 入谷。  
Iriya 入谷。  
Iriyama 入山。  
Irokawa 色川。  
Isa 伊佐。  
Isaka 井阪。伊阪。  
Isano 伊佐野。  
Isato 为乡。  
Isawa 伊泽。  
Isayama 谏山。  
Ise 伊势。  
Iseki 井关。伊关。  
Ishiai 石合。  
Ishiba 石破。  
Ishibashi 石桥。  
Ishibe 石部。  
Ishibiki 石引。  
Ishida 石田。  
Ishide 石出。  
Ishido 石堂。石塔。  
Ishiga 石贺。  
Ishigaki 石垣。  
Ishigame 石龟。  
Ishigami 石上。石神。  
Ishigane 石金。  
Ishigaya 石谷。  
Ishige 石毛。  
Ishigooka 石乡冈。  
Ishiguchi 石口。  
Ishiguro 石黑。  
Ishihama 石滨。  
Ishihara 石原。  
Ishihashi 石工。  
Ishii 石井。石居。  
Ishijima 石岛。  
Ishikawa 石川。石河。  
Ishiketa 石桁。  
Ishiki 石城。  
Ishiko 石河。石子。  
Ishikura 石仓。石藏。  
Ishikure 石搏。  
Ishimaki 石卷。  
Ishimaru 石丸。  
Ishimatsu 石松。  
Ishimi 石见。  
Ishimitsu 石光。  
Ishimori 石森。  
Ishimota 石母。  
Ishimoto 石本。  
Ishimura 石村。  
Ishinabe 石锅。  
Ishino 石野。  
Ishio 石尾。石王。  
Ishioka 石冈。  
Ishisaki 石崎。  
Ishita 井下。  
Ishitani 石谷。  
Ishito 石户。  
Ishitobi 石飞。  
Ishitsuki 石附。  
Ishiue 石上。  
Ishiura 石浦。  
Ishiwa 石和。  
Ishiwata 石渡。石绵。  
Ishiwatari 石渡。  
Ishiya 石谷。  
Ishiyama 石山。  
Ishizaka 石阪。  
Ishizaki 石崎。  
Ishizawa 石泽。  
Ishizeki 石关。  
Ishizone 石曾根。  
Ishizu 石津。  
Ishizuka 石冢。  
Iso 矶。礒。  
Isobe 矶部。矶边。礒部。礒边。  
Isoda 矶田。礒田。  
Isodani 矶谷。  
Isogai 矶贝。矶谷。  
Isohata 五十畑。  
Isokawa 矶川。五十川。  
Isomoto 矶本。  
Isomura 矶村。  
Isono 矶野。礒野。  
Isonokami 石上。  
Isoshima 矶岛。  
Isoya 矶谷。  
Isoyama 矶山。  
Isozaki 矶崎。礒崎。  
Isshiki 一色。  
Isurugi 岩动。  
Itabashi 板桥。  
Itagaki 板垣。  
Itagawa 板川。  
Itahara 板原。  
Itai 板井。  
Itakura 板仓。  
Itami 伊丹。  
Itani 井谷。铸谷。  
Itano 板野。  
Itasaka 板阪。  
Itatani 板谷 。  
Itaya 板谷。板屋。  
Itayama 板山。  
Ito 伊藤。伊东。井藤。居藤。位藤。夷藤。渭藤。依藤。揖藤。猪藤。渭东。意东。井东。以头。位头。井头。伊头。井远。蔺藤。  
Itoda 井户田。  
Itoga 系贺。  
Itoi 系井。  
Itokawa 系川。  
Itokazu 系数。  
Itoya 系屋。  
Itoyama 系山。  
Itsumi 逸见。  
Iuchi 井内。  
Iue 井上。  
Iura 井浦。  
Iwaasa 岩浅。  
Iwabashi 岩桥。  
Iwabori 岩堀。  
Iwabuchi 岩渊。  
Iwadate 岩立。  
Iwade 岩出。  
Iwagaki 岩垣。  
Iwagami 岩上。  
Iwaguro 岩畔。  
Iwahara 岩原。  
Iwahashi 岩桥。  
Iwai 岩井。  
Iwaide 岩出。  
Iwakata 岩片。  
Iwakawa 岩川。  
Iwaki 岩城。岩木。  
Iwakiri 岩切。  
Iwako 岩子。  
Iwakoshi 岩越。  
Iwakuchi 岩口。  
Iwakuni 岩国。  
Iwakura 岩仓。  
Iwama 岩间。  
Iwamaru 岩丸。  
Iwamatsu 岩松。  
Iwami 岩见。  
Iwamori 岩森。 
Iwamoto 岩本。岩元。岩本。  
Iwamura 岩村。  
Iwanaga 岩永。  
Iwanami 岩波。岩浪。  
Iwane 岩根。  
Iwano 岩野。  
Iwao 岩尾。岩。岩生。  
Iwaoka 岩冈。  
Iwasa 岩佐。  
Iwasaki 岩崎。  
Iwasawa 岩泽。  
Iwase 岩濑。  
Iwashima 岩岛。  
Iwashiro 岩城。  
Iwashita 岩下。  
Iwata 岩田。  
Iwatani 岩谷。  
Iwatare 岩垂。  
Iwatate 岩楯。  
Iwato 岩户。岩藤。  
Iwatsu 岩津。  
Iwatsubo 岩坪。  
Iwatsuki 岩月。岩附。  
Iwawaki 岩胁。  
Iwaya 岩谷。岩谷。岩屋。  
Iwayama 岩山。  
Iwazaki 岩崎。  
Iya 井谷。  
Iyama 井山。猪山。  
Iyo 伊予。  
Iyobe 伊余部。  
Iyota 伊予田。伊与田。  
Izaki 井崎。伊崎。  
Izawa 井泽。伊泽。  
Izeki 井关。伊关。  
Izu 伊豆。  
Izuguchi 出口。  
Izuhara 出原。  
Izui 出井。  
Izume 猪爪。  
Izumi 泉。和泉。泉水。井泉。饭泉。  
Izumi 出水。出海。 
Izumida 泉田。和泉田。  
Izumii 泉井。  
Izumikawa 泉川。  
Izumimoto 泉本。  
Izumino 泉野。  
Izumio 泉尾。  
Izumisawa 泉泽。  
Izumitani 泉谷。  
Izumiya 泉谷。  
Izumiyama 泉山。  
Izumo 出云。  
Izumura 出村。  
Izuno 泉野。  
Izuta 出田。  
Izutsu 井筒。  
 
 
J 

Jahana 谢花。  
Jana 谢名。  
Jibiki 地引。地曳。  
Jin 神。  
Jinbe 神户。神部。  
Jinbo 神保。  
Jingo 神户。  
Jingu 神宫。  
Jinguji 神宫司。  
Jinmei 神明。  
Jinnai 阵内。  
Jinno 神野。神农。  
Jinnouchi 阵内。  
Jinto 神藤。  
Jinzai 神西。  
Jitsukawa 实川。  
Jo 城。  
Jodai 上代。  
Joho 上保。  
Joko 上甲。  
Jono 城野。  
Jota 城田。  
Joyama 城山。  
Jugaku 寿岳。  
Juichiya 十一谷。  
Jumonji 十文字。 
K 

Kaba 蒲。  
Kabahara 蒲原。  
Kabasawa 桦泽。糀泽。  
Kabata 蒲田。  
Kabayama 桦山。  
Kabe 加部。  
Kabetani 壁谷。  
Kabuki 芜木。  
Kaburagi 镝木。  
kaburaki 镝木。芜木。  
Kachi 加地。  
Kada 鹿田。荷田。  
Kado 门。  
Kadogai 角谷。  
Kadoguchi 门口。  
Kadoi 门井。角井。  
Kadokawa 角川。门川。  
Kadokura 门仓。角仓。  
Kadoma 门间。门马。  
Kadono 角野。门野。上远野。  
Kadooka 门冈。  
Kadota 角田。门田。  
Kadotani 角谷。  
Kadowaki 门胁。  
kadoya 角屋。角谷。  
Kaeda 海江田。  
Kaede 枫。  
Kaeriyama 归山。  
Kaetsu 嘉悦。  
Kafuji 嘉藤。  
Kaga 加贺。  
kagabe 利部。  
Kagami 加贺美。各务。镜。加加美。加加见。加贺见。  
Kagata 利田。  
Kagawa 香川。加川。贺川。  
Kagaya 加贺谷。  
Kagayama 加贺山。加贺矢间。  
Kage 鹿毛。  
Kagesa 影佐。  
Kagetsu 香月。  
Kageyama 影山。荫山。景山。阴山。  
Kagimoto 键本。  
Kagita 键田。  
Kagitani 键谷。  
Kagiya 键谷。  
Kagiyama 键山。  
Kagomiya 笼宫。  
Kagomoto 笼本。  
Kagoshima 鹿儿岛。笼岛。  
Kagotani 笼谷。  
Kai 甲斐。改井。  
Kaibara 贝原。  
kaibo 海保。  
Kaibu 海部。  
Kaida 会田。  
kaido 角屋。  
Kaieda 海江田。  
Kaiga 海贺。  
Kaigo 海后。  
Kaihara 贝原。海原。  
Kaiho 海保。海宝。海北。  
Kaijima 贝岛。  
Kaiko 开高。  
Kaimoto 贝本。  
Kaino 海野。贝野。戒能。  
Kainuma 贝沼。海沼。  
Kaionji 海音寺。  
Kaisawa 会泽。  
Kaise 贝濑。  
Kaita 贝田。开田。  
Kaitani 贝谷。  
Kaito 垣内。海藤。海东。皆藤。  
Kaizu 海津。  
Kaizuka 贝冢。  
kaji 梶。锻治。加治。嘉治。鹿地。加地。  
Kajihara 梶原。  
Kajii 梶井。  
kajikawa 梶川。  
Kajiki 梶木。加治木。  
Kajima 鹿岛。  
Kajimoto 梶本。  
kajimura 梶村。  
Kajino 梶野。  
Kajioka 梶冈。  
Kajita 梶田。  
Kajitani 梶谷。  
Kajitsuka 梶冢。  
Kajiura 梶浦。  
Kajiwara 梶原。  
Kajiya 梶谷。  
Kajiyama 梶山。  
kakegawa 挂川。  
kakehashi 梯。挂桥。  
Kakei 笕。  
kakekawa 挂川。  
Kakiage 书上。  
Kakihara 柿原。  
Kakiki 柿木。  
Kakimoto 柿本。垣本。  
Kakinohana 垣花。  
Kakinoki 柿木。  
Kakinomoto 柿木。  
Kakinuma 柿沼。  
Kakishima 柿岛。  
Kakita 柿田。垣田。  
Kakitani 柿谷。  
kakitsubo 柿坪。  
Kakiuchi 垣内。柿内。  
Kakizaki 柿崎。蛎崎。  
Kakizawa 柿泽。  
Kako 加古。加来。  
Kakogawa 加古川。  
Kaku 角。加来。贺来。  
Kakubari 觉张。  
Kakui 角井。  
Kakunami 角南。  
Kakuno 角野。  
Kakura 鹿仓。  
Kakurai 加仓井。  
Kakuta 角田。  
Kakutani 角谷。  
Kakuya 角谷。  
Kamada 镰田。  
Kamagata 镰形。  
Kamai 釜井。  
Kamakari 镰苅。苅。     
Kamakura 镰仓。  
Kamano 镰野。  
Kamata 蒲田。釜田。镰田。  
Kamataki 镰泷。  
Kamatani 釜谷。镰谷。  
Kamaya 镰谷。  
Kameda 龟田。  
Kamei 龟井。  
Kamekawa 龟川。  
Kameoka 龟冈。  
Kameshima 龟岛。  
Kametani 龟谷。  
Kameya 龟谷。  
Kameyama 龟山。  
Kamezaki 龟崎。  
Kamezawa 龟泽。  
Kami 神。  
Kamibayashi 神林。  
Kamibe 神部。  
Kamichi 上地。  
Kamichika 神近。  
Kamide 上出。  
Kamifuji 神藤。  
Kamigaki 上垣。  
Kamihara 上原。  
Kamihira 上平。  
Kamiishi 上石。  
Kamijo 上条。  
Kamikawa 上川。神川。  
Kamiki 上木。神木。  
Kamiko 神子。  
Kamikubo 上久保。  
Kamikura 上仓。  
Kamima 上间。  
kamimae 神前。  
Kamimatsu 上松。  
kamimoto 上本。  
Kamimura 上村。神村。  
Kaminaga 神永。神长。 
Kaminaka 上中。  
Kaminari 雷。  
Kaminishi 上西。  
Kamino 上野。神野。上农。  
Kaminoyama 上野山。  
Kaminuma 上沼。  
Kamio 神尾。上尾。  
Kamioka 上冈。神冈。  
Kamisaka 上阪。  
Kamisaki 神崎。  
Kamisawa 神泽。上泽。  
Kamishima 上岛。  
Kamishiro 上代。  
Kamisugi 上杉。  
Kamita 上田。神田。  
Kamitani 神谷。纸谷。上谷。  
Kamito 神户。神藤。  
Kamitsu 神津。  
Kamitsukasa 上司。  
Kamitsuki 上月。  
Kamiya 神谷。纸谷。上谷。  
Kamiyama 神山。上山。  
Kamiyasu 上保。  
Kamiyoshi 神吉。  
Kamo 加茂。贺茂。鸭。  
kamochi 鹿持。  
Kamoda 鸭田。  
Kamogawa 鸭川。  
Kamoi 鸭井。  
Kamoshita 鸭下。鸭志田。  
Kamota 鸭田。  
Kamura 加村。嘉村。  
Kan 菅。  
Kanaguri 金栗。  
Kanai 金井。笕。  
Kanakubo 金久保。  
Kanakura 金仓。  
Kanamaru 金丸。  
Kaname 栗。  
Kanamori 金森。  
Kanamoto 金本。  
Kanamura 金村。  
Kanaoka 金冈。  
Kanasaka 金阪。  
Kanase 金濑。  
Kanaseki 金关。  
Kanashima 金岛。  
Kanasugi 金杉。  
Kanaumi 金海。  
Kanawa 金轮。  
Kanaya 金家。金谷。  
Kanayama 金山。  
Kanazaki 金崎。  
Kanazawa 金泽。  
Kanazu 金津。  
Kanbara 菅原。神原。  
Kanbayashi 神林。上林。  
Kanbe 神户。神部。  
Kanda 神田。菅田。  
Kando 神户。  
Kaneaki 印牧。  
Kaneda 金田。兼田。  
Kanehara 金原。  
Kanehira 兼平。金平。  
Kaneizumi 金泉。  
Kanekawa 金川。  
Kaneki 金木。  
Kaneko 金子。兼子。  
Kanemaki 金卷。  
Kanemaru 金丸。  
Kanemasa 金正。  
Kanematsu 兼松。  
Kanemitsu 金光。  
Kanemiya 金宫。  
Kanemochi 金持。  
Kanemoto 金元。  
Kanenari 金成。  
Kaneno 金野。  
Kaneo 金尾。  
Kanesaka 兼阪。  
Kanesashi 金指。  
Kaneshiro 金城。  
Kanetaka 金高。  
Kanetani 金谷。  
Kanetsuka 金冢。  
Kanetsuna 金纲。  
Kanetsune 兼常。  
Kaneuchi 金内。  
Kaneuri 金亮。  
Kaneya 金谷。  
Kaneyasu 金安。  
Kanezashi 金刺。  
Kanezawa 金泽。  
Kani 蟹。  
Kanie 蟹江。  
Kanisawa 蟹泽。  
Kankawa 寒川。  
Kanke 菅家。  
Kanki 神吉。  
Kanmuri 冠。  
Kanna 汉那。  
Kannami 菅波。  
Kannari 金成。  
Kanno 菅野。神野。管野。  
Kano 鹿野。加野。加纳。狩野。叶。嘉纳。加能。  
Kanokogi 鹿子木。  
Kanoto 神户。  
Kanouchi 叶内。  
Kansaku 神作。  
Kanuma 鹿沼。  
Kanyama 完山。  
Kanzaki 神崎。  
Kanzan 关山。干山。  
Kanzawa 菅泽。神泽。  
Karahashi 唐桥。  
Karahata 唐端。  
Karai 柄井。  
Karakama 唐镰。  
Karaki 唐木。  
Karakida 唐木田。  
Karasaki 唐崎。  
Karasawa 唐泽。柄泽。  
Karashima 辛岛。  
Karasumaru 乌丸。  
Karatani 柄谷。  
Karatsu 唐津。  
Karaya 柄谷。  
Karibe 苅部。  
Karino 狩野。  
Karita 苅田。  
Karitani 刈谷。  
Kariya 狩谷。刈谷。苅谷。  
Karube 轻部。  
Karume 轻马。  
Kasa 笠。  
Kasai 笠 井。川西。河西。香西。葛西。  
Kasajima 笠岛。  
Kasaki 笠木。  
Kasakura 笠仓。  
Kasama 笠间。  
Kasamatsu 笠松。  
Kasamori 笠森。  
Kasano 笠野。  
Kasaoka 笠冈。  
Kasatani 笠谷。  
Kasaya 笠谷。  
Kase 加濑。  
Kashihara 柏原。樫原。  
Kashii 香椎。  
Kashiki 樫木。  
Kashima 鹿岛。加岛。贺岛。  
Kashimada 鹿岛田。  
Kashimoto 樫本。  
Kashimura 樫村。柏村。鹿志村。  
Kashine 樫根。  
Kashisaki 柏崎。  
Kashiwa 柏。  
Kashiwaba 柏叶。  
Kashiwabara 柏原。  
Kashiwada 柏田。  
Kashiwado 柏户。  
Kashiwagi 柏木。  
Kashiwai 柏井。  
Kashiwakuma 柏熊。  
Kashiwakura 柏仓。  
Kashiwamoto 柏本。  
Kashiwamura 柏村。  
Kashiwano 柏野。  
Kashiwase 柏濑。  
Kashiwatani 柏谷。  
Kashiwaya 柏谷。  
Kashiwayama 柏山。  
Kashiwazaki 柏崎。  
Kashiyama 樫山。  
Kashu 贺集。  
Kasori 加曾利。  
Kasuga 春日。  
Kasugai 春日井。  
Kasukawa 粕川。  
Kasutani 糟谷。  
Kasuya 粕谷。糟谷。  
Kata 家田。香田。加田。贺田。  
Katada 片田。坚田。  
Katagai 片贝。  
Katagami 片上。  
Katagiri 片桐。  
Katahira 片平。  
Katakura 片仓。  
Katamoto 片本。  
Katane 片根。  
Kataniwa 片庭。  
Katano 片野。  
Kataoka 片冈。  
Katase 片濑。  
Katata 片多。 
Katayama 片山。形山。  
Katayanagi 片柳。  
Katayori 片寄。  
Kato 加藤。加登。嘉藤。加东。歌藤。贺藤。迦统。加统。香东。下藤。可藤。佳藤。加头。鹿头。甲藤。  
Katogi 加藤木。  
Katori 香取。鹿取。  
